sample	tag	treatment	site	species	condition	treated	date
blank-pb1	blank	blank	blank	blank	blank	blank	blank
blank-pb2	blank	blank	blank	blank	blank	blank	blank
blank-pb3	blank	blank	blank	blank	blank	blank	blank
blank-pb4	blank	blank	blank	blank	blank	blank	blank
blank-pb5	blank	blank	blank	blank	blank	blank	blank
blank-pb6	blank	blank	blank	blank	blank	blank	blank
blank-pb7	blank	blank	blank	blank	blank	blank	blank
blank-pb8	blank	blank	blank	blank	blank	blank	blank
BS3-2041-DD-A	2041	none	BS3	MCAV	DD	NO	21-Jul
BS3-2041-DD-B	2041	probiotic paste and bag	BS3	MCAV	DD	YES	21-Aug
BS3-2041-HD-A	2041	none	BS3	MCAV	HD	NO	21-Jul
BS3-2041-HD-B	2041	probiotic paste and bag	BS3	MCAV	HD	YES	21-Aug
BS3-2041-HH-C	2041	probiotic paste and bag	BS3	MCAV	HH	YES	21-Nov
BS3-2116-DD-A	2116	none	BS3	MCAV	DD	NO	21-Jul
BS3-2116-HD-A	2116	none	BS3	MCAV	HD	NO	21-Jul
BS3-2116-HH-C	2116	none	BS3	MCAV	HH	NO	21-Nov
BS3-2264-DD-A	2264	none	BS3	MCAV	DD	NO	21-Jul
BS3-2264-DD-B	2264	control paste and bag	BS3	MCAV	DD	NO	21-Aug
BS3-2264-DD-C	2264	control paste and bag	BS3	MCAV	DD	NO	21-Nov
BS3-2264-HD-A	2264	none	BS3	MCAV	HD	NO	21-Jul
BS3-2264-HD-B	2264	control paste and bag	BS3	MCAV	HD	NO	21-Aug
BS3-2264-HD-C	2264	control paste and bag	BS3	MCAV	HD	NO	21-Nov
BS3-2265-DD-A	2265	none	BS3	MCAV	DD	NO	21-Jul
BS3-2265-DD-B	2265	control paste and bag	BS3	MCAV	DD	NO	21-Aug
BS3-2265-DD-C	2265	control paste and bag	BS3	MCAV	DD	NO	21-Nov
BS3-2265-HD-A	2265	none	BS3	MCAV	HD	NO	21-Jul
BS3-2265-HD-B	2265	control paste and bag	BS3	MCAV	HD	NO	21-Aug
BS3-2265-HD-C	2265	control paste and bag	BS3	MCAV	HD	NO	21-Nov
BS3-2266-DD-A	2266	none	BS3	MCAV	DD	NO	21-Jul
BS3-2266-DD-B	2266	probiotic paste and bag	BS3	MCAV	DD	YES	21-Aug
BS3-2266-DD-C	2266	probiotic paste and bag	BS3	MCAV	DD	YES	21-Nov
BS3-2266-HD-A	2266	none	BS3	MCAV	HD	NO	21-Jul
BS3-2266-HD-B	2266	probiotic paste and bag	BS3	MCAV	HD	YES	21-Aug
BS3-2266-HD-C	2266	probiotic paste and bag	BS3	MCAV	HD	YES	21-Nov
BS3-2267-HH-A	2267	none	BS3	MCAV	HH	NO	21-Jul
BS3-2267-HH-B	2267	none	BS3	MCAV	HH	NO	21-Aug
BS3-2267-HH-C	2267	none	BS3	MCAV	HH	NO	21-Nov
BS3-2268-DD-A	2268	none	BS3	MCAV	DD	NO	21-Jul
BS3-2268-DD-B	2268	probiotic paste and bag	BS3	MCAV	DD	YES	21-Aug
BS3-2268-HD-A	2268	none	BS3	MCAV	HD	NO	21-Jul
BS3-2268-HD-B	2268	probiotic paste and bag	BS3	MCAV	HD	YES	21-Aug
BS3-2268-HH-C	2268	probiotic paste and bag	BS3	MCAV	HH	YES	21-Nov
BS3-2362-DD-B	2362	probiotic paste and bag	BS3	MCAV	DD	YES	21-Aug
BS3-2362-DD-C	2362	probiotic paste and bag	BS3	MCAV	DD	YES	21-Nov
BS3-2362-HD-A	2362	none	BS3	MCAV	HD	NO	21-Jul
BS3-2362-HD-B	2362	probiotic paste and bag	BS3	MCAV	HD	YES	21-Aug
BS3-2362-HD-C	2362	probiotic paste and bag	BS3	MCAV	HD	YES	21-Nov
BS3-2363-DD-A	2363	none	BS3	MCAV	DD	NO	21-Jul
BS3-2363-HD-A	2363	none	BS3	MCAV	HD	NO	21-Jul
BS3-2363-HH-B	2363	probiotic paste and bag	BS3	MCAV	HH	YES	21-Aug
BS3-2363-HH-C	2363	probiotic paste and bag	BS3	MCAV	HH	YES	21-Nov
BS3-2364-DD-A	2364	none	BS3	MCAV	DD	NO	21-Jul
BS3-2364-DD-B	2364	control paste and bag	BS3	MCAV	DD	NO	21-Aug
BS3-2364-DD-C	2364	control paste and bag	BS3	MCAV	DD	NO	21-Nov
BS3-2364-HD-A	2364	none	BS3	MCAV	HD	NO	21-Jul
BS3-2364-HD-B	2364	control paste and bag	BS3	MCAV	HD	NO	21-Aug
BS3-2364-HD-C	2364	control paste and bag	BS3	MCAV	HD	NO	21-Nov
BS3-2365-DD-A	2365	none	BS3	MCAV	DD	NO	21-Jul
BS3-2365-DD-B	2365	control paste and bag	BS3	MCAV	DD	NO	21-Aug
BS3-2365-DD-C	2365	control paste and bag	BS3	MCAV	DD	NO	21-Nov
BS3-2365-HD-A	2365	none	BS3	MCAV	HD	NO	21-Jul
BS3-2365-HD-B	2365	control paste and bag	BS3	MCAV	HD	NO	21-Aug
BS3-2365-HD-C	2365	control paste and bag	BS3	MCAV	HD	NO	21-Nov
BS3-2366-DD-A	2366	none	BS3	MCAV	DD	NO	21-Jul
BS3-2366-DD-B	2366	control paste and bag	BS3	MCAV	DD	NO	21-Aug
BS3-2366-DD-C	2366	control paste and bag	BS3	MCAV	DD	NO	21-Nov
BS3-2366-HD-A	2366	none	BS3	MCAV	HD	NO	21-Jul
BS3-2366-HD-B	2366	control paste and bag	BS3	MCAV	HD	NO	21-Aug
BS3-2366-HD-C	2366	control paste and bag	BS3	MCAV	HD	NO	21-Nov
BS3-2429-DD-A	2429	none	BS3	MCAV	DD	NO	21-Jul
BS3-2429-DD-B	2429	control paste and bag	BS3	MCAV	DD	NO	21-Aug
BS3-2429-DD-C	2429	control paste and bag	BS3	MCAV	DD	NO	21-Nov
BS3-2429-HD-A	2429	none	BS3	MCAV	HD	NO	21-Jul
BS3-2429-HD-B	2429	control paste and bag	BS3	MCAV	HD	NO	21-Aug
BS3-2429-HD-C	2429	control paste and bag	BS3	MCAV	HD	NO	21-Nov
BS3-2451-DD-A	2451	none	BS3	MCAV	DD	NO	21-Jul
BS3-2451-DD-B	2451	none	BS3	MCAV	DD	NO	21-Aug
BS3-2451-HD-A	2451	none	BS3	MCAV	HD	NO	21-Jul
BS3-2451-HD-B	2451	none	BS3	MCAV	HD	NO	21-Aug
BS3-2451-HH-C	2451	none	BS3	MCAV	HH	NO	21-Nov
BS3-2503-HH-A	2503	none	BS3	MCAV	HH	NO	21-Jul
BS3-2503-HH-B	2503	none	BS3	MCAV	HH	NO	21-Aug
BS3-2503-HH-C	2503	none	BS3	MCAV	HH	NO	21-Nov
BS3-2504-HH-A	2504	none	BS3	MCAV	HH	NO	21-Jul
BS3-2504-HH-B	2504	none	BS3	MCAV	HH	NO	21-Aug
BS3-2504-HH-C	2504	none	BS3	MCAV	HH	NO	21-Nov
BS3-2505-DD-B	2505	none	BS3	MCAV	DD	NO	21-Aug
BS3-2505-DD-C	2505	none	BS3	MCAV	DD	NO	21-Nov
BS3-2505-HD-B	2505	none	BS3	MCAV	HD	NO	21-Aug
BS3-2505-HD-C	2505	none	BS3	MCAV	HD	NO	21-Nov
BS3-2506-DD-A	2506	none	BS3	MCAV	DD	NO	21-Jul
BS3-2506-DD-AA	2506	none	BS3	MCAV	DD	NO	21-Jul
BS3-2506-DD-B	2506	none	BS3	MCAV	DD	NO	21-Aug
BS3-2506-HD-A	2506	none	BS3	MCAV	HD	NO	21-Jul
BS3-2506-HD-AA	2506	none	BS3	MCAV	HD	NO	21-Jul
