""	"TagID"	"HealthState"	"Treatment"	"Treated"	"AllPresent"	"Status"	"Date"
"BS2-1566-HD-A"	"1566"	"Apparently Healthy"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-1689-HD-A"	"1689"	"Apparently Healthy"	"none"	"NO"	"YES"	"Healing/Progressing"	"A"
"BS2-1842-HD-A"	"1842"	"Apparently Healthy"	"none"	"NO"	"YES"	"Healing"	"A"
"BS2-1925-HD-A"	"1925"	"Apparently Healthy"	"none"	"NO"	"YES"	"Healing"	"A"
"BS2-2006-HD-A"	"2006"	"Apparently Healthy"	"none"	"NO"	"YES"	"Healing"	"A"
"BS2-2019-HD-A"	"2019"	"Apparently Healthy"	"none"	"NO"	"YES"	"Healed"	"A"
"BS2-2048-HD-A"	"2048"	"Apparently Healthy"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-2076-HD-A"	"2076"	"Apparently Healthy"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2077-HD-A"	"2077"	"Apparently Healthy"	"none"	"NO"	"NO"	"Stopped"	"A"
"BS2-2079-HD-A"	"2079"	"Apparently Healthy"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-2080-HD-A"	"2080"	"Apparently Healthy"	"none"	"NO"	"NO"	"Dead"	"A"
"BS2-2091-HD-A"	"2091"	"Apparently Healthy"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2149-HD-A"	"2149"	"Apparently Healthy"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-2155-HD-A"	"2155"	"Apparently Healthy"	"none"	"NO"	"YES"	"Healing"	"A"
"BS2-2179-HD-A"	"2179"	"Apparently Healthy"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2180-HD-A"	"2180"	"Apparently Healthy"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-2198-HD-A"	"2198"	"Apparently Healthy"	"none"	"NO"	"NO"	"Slowly Progressing"	"A"
"BS2-2415-HD-A"	"2415"	"Apparently Healthy"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2432-HD-A"	"2432"	"Apparently Healthy"	"none"	"NO"	"NO"	"No Disease"	"A"
"BS2-2433-HD-A"	"2433"	"Apparently Healthy"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2474-HD-A"	"2474"	"Apparently Healthy"	"none"	"NO"	"YES"	"Quickly Progressing"	"A"
"BS2-2482-HD-A"	"2482"	"Apparently Healthy"	"none"	"NO"	"NO"	"Dead"	"A"
"BS2-2483-HD-A"	"2483"	"Apparently Healthy"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-1566-HD-O"	"1566"	"Apparently Healthy"	"probiotic paste"	"YES"	"YES"	"Slowly Progressing"	"O"
"BS2-1689-HD-O"	"1689"	"Apparently Healthy"	"probiotic bag"	"YES"	"YES"	"Healing/Progressing"	"O"
"BS2-1842-HD-O"	"1842"	"Apparently Healthy"	"probiotic bag"	"YES"	"YES"	"Healing"	"O"
"BS2-1925-HD-O"	"1925"	"Apparently Healthy"	"probiotic bag"	"YES"	"YES"	"Healing"	"O"
"BS2-2006-HD-O"	"2006"	"Apparently Healthy"	"probiotic paste"	"YES"	"YES"	"Healing"	"O"
